word,length,type,hsk_levels,appears_in_multiple_levels
书店,2,compound,1,no
书房,2,compound,6,no
书架,2,compound,3,no
书柜,2,compound,5,no
书桌,2,compound,5,no
书橱,2,compound,7,no
书法,2,compound,5,no
书籍,2,compound,7,no
书记,2,compound,7,no
书面,2,compound,7,no
买,1,single,1,no
买不起,3,compound,7,no
买卖,2,compound,5,no
乱,1,single,3,no
乱七八糟,4,compound,7,no
乳制品,3,compound,6,no
了,1,single,1,no
了不起,3,compound,4,no
了却,2,compound,7,no
了结,2,compound,7,no
了解,2,compound,4,no
予以,2,compound,7,no
争,1,single,3,no
争先恐后,4,compound,7,no
争光,2,compound,7,no
争分夺秒,4,compound,7,no
争取,2,compound,3,no
争吵,2,compound,7,no
争夺,2,compound,6,no
争执,2,compound,7,no
争气,2,compound,7,no
争端,2,compound,7,no
争议,2,compound,5,no
争论,2,compound,4,no
事,1,single,1,no
事业,2,compound,3,no
事件,2,compound,3,no
事先,2,compound,4,no
事务,2,compound,7,no
事务所,3,compound,7,no
事后,2,compound,6,no
事宜,2,compound,7,no
事实,2,compound,3,no
事实上,3,compound,3,no
事态,2,compound,7,no
事情,2,compound,2,no
事故,2,compound,3,no
事物,2,compound,4,no
事迹,2,compound,7,no
事项,2,compound,7,no
二,1,single,1,no
二手,2,compound,4,no
二手车,3,compound,7,no
二氧化碳,4,compound,7,no
二维码,3,compound,5,no
于,1,single,6,no
于是,2,compound,4,no
亏,1,single,5,no
亏损,2,compound,7,no
亏本,2,compound,7,no
云,1,single,2,no
互信,2,compound,7,no
互动,2,compound,6,no
互助,2,compound,7,no
互相,2,compound,3,no
互联网,3,compound,3,no
互补,2,compound,7,no
互访,2,compound,7,no
五,1,single,1,no
五星级,3,compound,7,no
五花八门,4,compound,7,no
五颜六色,4,compound,4,no
井,1,single,6,no
亚军,2,compound,5,no
亚运会,3,compound,4,no
些,1,single,4,no
亡羊补牢,4,compound,7,no
交,1,single,2,no
交付,2,compound,7,no
交代,2,compound,5,no
交叉,2,compound,7,no
交响乐,3,compound,7,no
交头接耳,4,compound,7,no
交往,2,compound,3,no
交情,2,compound,7,no
交换,2,compound,4,no
交接,2,compound,7,no
交易,2,compound,3,no
交替,2,compound,7,no
交朋友,3,compound,2,no
交流,2,compound,3,no
交涉,2,compound,7,no
交界,2,compound,7,no
交纳,2,compound,7,no
交给,2,compound,2,no
交警,2,compound,3,no
交谈,2,compound,7,no
交费,2,compound,3,no
交通,2,compound,2,no
交锋,2,compound,7,no
交际,2,compound,4,no
交集,2,compound,7,no
亦,1,single,7,no
产,1,single,7,no
产业,2,compound,5,no
产值,2,compound,7,no
产品,2,compound,4,no
产地,2,compound,7,no
产物,2,compound,7,no
产生,2,compound,3,no
产量,2,compound,6,no
亩,1,single,7,no
享,1,single,7,no
享受,2,compound,5,no
享有,2,compound,7,no
京剧,2,compound,3,no
亮,1,single,2,no
亮丽,2,compound,7,no
亮点,2,compound,7,no
亮相,2,compound,7,no
亲,1,single,3,no
亲人,2,compound,3,no
亲切,2,compound,3,no
亲友,2,compound,7,no
亲和力,3,compound,7,no
亲密,2,compound,4,no
亲属,2,compound,6,no
亲情,2,compound,7,no
亲戚,2,compound,7,no
亲手,2,compound,7,no
亲朋好友,4,compound,7,no
亲热,2,compound,7,no
亲爱,2,compound,4,no
亲生,2,compound,7,no
亲眼,2,compound,6,no
亲自,2,compound,3,no
亲身,2,compound,7,no
亲近,2,compound,7,no
人,1,single,1,no
人为,2,compound,7,no
人事,2,compound,7,no
人们,2,compound,2,no
人体,2,compound,7,no
人力,2,compound,5,no
人口,2,compound,2,no
人员,2,compound,3,no
人品,2,compound,7,no
人均,2,compound,7,no
人士,2,compound,5,no
人家,2,compound,4,no
人工,2,compound,3,no
人工智能,4,compound,7,no
人性,2,compound,7,no
人情,2,compound,7,no
人手,2,compound,7,no
人才,2,compound,3,no
人数,2,compound,2,no
人文,2,compound,7,no
人权,2,compound,6,no
人格,2,compound,7,no
人次,2,compound,7,no
人民,2,compound,3,no
人民币,3,compound,3,no
人气,2,compound,7,no
人物,2,compound,5,no
人生,2,compound,3,no
人类,2,compound,3,no
人缘儿,3,compound,7,no
人群,2,compound,3,no
人行道,3,compound,7,no
人质,2,compound,7,no
人身,2,compound,7,no
人选,2,compound,7,no
人造,2,compound,7,no
人道,2,compound,7,no
人间,2,compound,5,no
亿,1,single,2,no
什么,2,compound,1,no
什么样,3,compound,2,no
仁慈,2,compound,7,no
仅,1,single,3,no
仅仅,2,compound,3,no
仅次于,3,compound,7,no
仇,1,single,7,no
仇人,2,compound,7,no
仇恨,2,compound,7,no
今后,2,compound,2,no
今天,2,compound,1,no
今年,2,compound,1,no
今日,2,compound,5,no
介于,2,compound,7,no
介入,2,compound,7,no
介意,2,compound,7,no
介绍,2,compound,1,no
仍,1,single,3,no
仍旧,2,compound,5,no
仍然,2,compound,3,no
从,1,single,1,no
从不,2,compound,6,no
从业,2,compound,7,no
从中,2,compound,5,no
从事,2,compound,3,no
从今以后,4,compound,7,no
从前,2,compound,3,no
从头,2,compound,7,no
从容,2,compound,7,no
从容不迫,4,compound,7,no
从小,2,compound,2,no
从早到晚,4,compound,7,no
从未,2,compound,7,no
从来,2,compound,3,no
从来不,3,compound,7,no
从此,2,compound,4,no
从没,2,compound,6,no
从而,2,compound,5,no
仓库,2,compound,6,no
仔细,2,compound,5,no
他,1,single,1,no
他人,2,compound,7,no
他们,2,compound,1,no
付,1,single,3,no
付出,2,compound,4,no
付款,2,compound,7,no
付费,2,compound,7,no
仙女,2,compound,7,no
仙鹤,2,compound,7,no
代,1,single,3,no
代价,2,compound,5,no
代号,2,compound,7,no
代替,2,compound,4,no
代理,2,compound,5,no
代理人,3,compound,7,no
代表,2,compound,3,no
代表团,3,compound,3,no
代言人,3,compound,7,no
令,1,single,5,no
以,1,single,7,no
以上,2,compound,2,no
以下,2,compound,2,no
以为,2,compound,2,no
以便,2,compound,5,no
以免,2,compound,7,no
以内,2,compound,4,no
以前,2,compound,2,no
以及,2,compound,4,no
以后,2,compound,2,no
以外,2,compound,2,no
以往,2,compound,5,no
以来,2,compound,3,no
以至于,3,compound,7,no
以致,2,compound,7,no
以身作则,4,compound,7,no
仪器,2,compound,6,no
仪式,2,compound,6,no
仪表,2,compound,7,no
们,1,single,1,no
仰,1,single,6,no
仲裁,2,compound,7,no
件,1,single,2,no
价,1,single,5,no
价位,2,compound,7,no
价值,2,compound,3,no
价值观,3,compound,7,no
价格,2,compound,3,no
价钱,2,compound,3,no
任,1,single,3,no
任人宰割,4,compound,7,no
任何,2,compound,3,no
任务,2,compound,3,no
任命,2,compound,7,no
任意,2,compound,7,no
任期,2,compound,7,no
任职,2,compound,7,no
份,1,single,2,no
份额,2,compound,7,no
仿,1,single,7,no
仿佛,2,compound,6,no
仿制,2,compound,7,no
企业,2,compound,4,no
企图,2,compound,6,no
伊斯兰教,4,compound,7,no
休假,2,compound,2,no
休克,2,compound,7,no
休养,2,compound,7,no
休息,2,compound,1,no
休想,2,compound,7,no
休眠,2,compound,7,no
休闲,2,compound,5,no
众人,2,compound,7,no
众多,2,compound,5,no
众志成城,4,compound,7,no
众所周知,4,compound,7,no
优,1,single,7,no
优先,2,compound,5,no
优势,2,compound,3,no
优化,2,compound,7,no
优异,2,compound,7,no
优惠,2,compound,5,no
优点,2,compound,3,no
优秀,2,compound,4,no
优美,2,compound,4,no
优良,2,compound,4,no
优质,2,compound,6,no
优越,2,compound,7,no
优雅,2,compound,7,no
伙,1,single,4,no
伙伴,2,compound,4,no
伙食,2,compound,7,no
会,1,single,1,no
会员,2,compound,3,no
会场,2,compound,7,no
会意,2,compound,7,no
会晤,2,compound,7,no
会见,2,compound,6,no
会计,2,compound,4,no
会议,2,compound,3,no
会诊,2,compound,7,no
会谈,2,compound,5,no
会长,2,compound,6,no
会面,2,compound,7,no
伞,1,single,4,no
伟大,2,compound,3,no
传,1,single,3,no
传人,2,compound,7,no
传出,2,compound,6,no
传奇,2,compound,7,no
传媒,2,compound,6,no
传承,2,compound,7,no
传授,2,compound,7,no
传播,2,compound,3,no
传来,2,compound,3,no
传染,2,compound,7,no
传染病,3,compound,7,no
传真,2,compound,5,no
传统,2,compound,4,no
传言,2,compound,6,no
传记,2,compound,7,no
传说,2,compound,3,no
传输,2,compound,6,no
传达,2,compound,5,no
传递,2,compound,5,no
传闻,2,compound,7,no
伤,1,single,3,no
伤亡,2,compound,6,no
伤势,2,compound,7,no
伤口,2,compound,6,no
伤员,2,compound,6,no
伤害,2,compound,4,no
伤心,2,compound,3,no
伤感,2,compound,7,no
伤残,2,compound,7,no
伤痕,2,compound,7,no
伤脑筋,3,compound,7,no
伦理,2,compound,7,no
伪装,2,compound,7,no
伪造,2,compound,7,no
伯伯,2,compound,7,no
伯母,2,compound,7,no
伯父,2,compound,7,no
估算,2,compound,7,no
估计,2,compound,5,no
伴,1,single,7,no
伴侣,2,compound,7,no
伴奏,2,compound,7,no
伴随,2,compound,7,no
伸,1,single,5,no
伸张,2,compound,7,no
伸手,2,compound,7,no
伸缩,2,compound,7,no
伺候,2,compound,7,no
伺机,2,compound,7,no
似乎,2,compound,4,no
似是而非,4,compound,7,no
似曾相识,4,compound,7,no
似的,2,compound,4,no
但,1,single,2,no
但愿,2,compound,7,no
但是,2,compound,2,no
位,1,single,2,no
位于,2,compound,4,no
位子,2,compound,7,no
位置,2,compound,4,no
低,1,single,2,no
低下,2,compound,7,no
低于,2,compound,5,no
低价,2,compound,7,no
低估,2,compound,7,no
低头,2,compound,6,no
低温,2,compound,6,no
低碳,2,compound,7,no
低调,2,compound,7,no
低谷,2,compound,7,no
低迷,2,compound,7,no
住,1,single,1,no
住址,2,compound,7,no
住处,2,compound,7,no
住宅,2,compound,6,no
住宿,2,compound,7,no
住户,2,compound,7,no
住房,2,compound,2,no
住院,2,compound,2,no
佐料,2,compound,7,no
体会,2,compound,3,no
体制,2,compound,7,no
体力,2,compound,5,no
体操,2,compound,4,no
体检,2,compound,4,no
体温,2,compound,7,no
体现,2,compound,3,no
体积,2,compound,5,no
体系,2,compound,7,no
体育,2,compound,2,no
体育场,3,compound,2,no
体育馆,3,compound,2,no
体能,2,compound,7,no
体谅,2,compound,7,no
体质,2,compound,7,no
体贴,2,compound,7,no
体重,2,compound,4,no
体面,2,compound,7,no
体验,2,compound,3,no
何况,2,compound,7,no
何处,2,compound,7,no
何必,2,compound,7,no
何时,2,compound,7,no
何苦,2,compound,7,no
余,1,single,7,no
余地,2,compound,7,no
余额,2,compound,7,no
佛,1,single,6,no
佛教,2,compound,6,no
作,1,single,6,no
作业,2,compound,2,no
作为,2,compound,4,no
作出,2,compound,4,no
作品,2,compound,3,no
作客,2,compound,7,no
作家,2,compound,2,no
作对,2,compound,7,no
作废,2,compound,6,no
作弊,2,compound,7,no
作战,2,compound,6,no
作文,2,compound,2,no
作物,2,compound,7,no
作用,2,compound,2,no
作者,2,compound,3,no
作风,2,compound,7,no
你,1,single,1,no
你们,2,compound,1,no
佩服,2,compound,7,no
佳节,2,compound,7,no
使,1,single,3,no
使劲,2,compound,4,no
使命,2,compound,7,no
使唤,2,compound,7,no
使得,2,compound,5,no
使用,2,compound,2,no
使者,2,compound,7,no
侃大山,3,compound,7,no
例外,2,compound,5,no
例如,2,compound,2,no
例子,2,compound,2,no
侍候,2,compound,7,no
供,1,single,7,no
供不应求,4,compound,7,no
供奉,2,compound,7,no
供应,2,compound,4,no
供暖,2,compound,7,no
供求,2,compound,7,no
供给,2,compound,6,no
依,1,single,7,no
依依不舍,4,compound,7,no
依托,2,compound,7,no
依据,2,compound,5,no
依旧,2,compound,5,no
依次,2,compound,6,no
依法,2,compound,5,no
依然,2,compound,4,no
依照,2,compound,5,no
依赖,2,compound,6,no
依靠,2,compound,4,no
侠义,2,compound,7,no
侦察,2,compound,7,no
侧,1,single,6,no
侧重,2,compound,7,no
侧面,2,compound,7,no
侮辱,2,compound,7,no
侵占,2,compound,7,no
侵害,2,compound,7,no
侵权,2,compound,7,no
侵犯,2,compound,6,no
侵略,2,compound,7,no
便,1,single,6,no
便于,2,compound,5,no
便利,2,compound,5,no
便利店,3,compound,7,no
便宜,2,compound,2,no
便捷,2,compound,7,no
便是,2,compound,6,no
便条,2,compound,5,no
便道,2,compound,7,no
便饭,2,compound,7,no
促使,2,compound,4,no
促成,2,compound,7,no
促进,2,compound,4,no
促销,2,compound,4,no
俄语,2,compound,7,no
俊,1,single,7,no
俊俏,2,compound,7,no
俗,1,single,7,no
俗话,2,compound,7,no
俗话说,3,compound,7,no
俗语,2,compound,7,no
俘获,2,compound,7,no
俘虏,2,compound,7,no
保,1,single,3,no
保佑,2,compound,7,no
保修,2,compound,7,no
保健,2,compound,6,no
保养,2,compound,5,no
保卫,2,compound,5,no
保姆,2,compound,7,no
保存,2,compound,3,no
保守,2,compound,4,no
保安,2,compound,3,no
保密,2,compound,4,no
保护,2,compound,3,no
保持,2,compound,3,no
保暖,2,compound,7,no
保留,2,compound,3,no
保管,2,compound,7,no
保证,2,compound,3,no
保质期,3,compound,7,no
保重,2,compound,7,no
保险,2,compound,3,no
保障,2,compound,7,no
保鲜,2,compound,7,no
信,1,single,2,no
信仰,2,compound,6,no
信件,2,compound,7,no
信任,2,compound,3,no
信号,2,compound,2,no
信封,2,compound,3,no
信心,2,compound,2,no
信念,2,compound,5,no
信息,2,compound,2,no
信用,2,compound,6,no
信用卡,3,compound,2,no
信箱,2,compound,5,no
信誉,2,compound,7,no
信贷,2,compound,7,no
信赖,2,compound,7,no
俩,1,single,4,no
修,1,single,3,no
修养,2,compound,5,no
修复,2,compound,5,no
修建,2,compound,5,no
修改,2,compound,3,no
修正,2,compound,7,no
