simplified,vietnamese,pinyin,english,hsk_level
并,,bìng,and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge,4
并且,,bìng qiě,and; besides; moreover; furthermore; in addition,4
病,,bìng,illness; disease; to fall ill; defect,4
病人,,bìng rén,sick person; patient; invalid,4
播出,,bō chū,to broadcast; to air (a TV program etc),4
播放,,bō fàng,to broadcast; to transmit (by radio or TV),4
补,,bǔ,to repair; to patch; to mend; to make up for; to fill (a vacancy); to supplement,4
补充,,bǔ chōng,to replenish; to supplement; to complement; additional; supplementary,4
不,,bù,no; not so; (bound form) not; un-,4
不安,,bù ān,unpeaceful; unstable; uneasy; disturbed; restless; worried,4
不必,,bù bì,need not; does not have to; not necessarily,4
不错,,bù cuò,correct; right; not bad; pretty good,4
不大,,bù dà,not very; not too; not often,4
不但,,bù dàn,not only (... but also ...),4
不得不,,bù dé bù,have no choice or option but to; cannot but; have to; can't help it; can't avoid,4
不断,,bù duàn,unceasing; uninterrupted; continuous; constant,4
不对,,bù duì,incorrect; wrong; amiss; abnormal; queer,4
不够,,bù gòu,not enough; insufficient; inadequate,4
不管,,bù guǎn,not to be concerned; regardless of; no matter,4
不光,,bù guāng,not the only one; not only,4
不过,,bù guò,only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival),4
不好意思,,bù hǎo yì si,to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing sb),4
不仅,,bù jǐn,"not just; not limited to; (as a correlative conjunction) not only (..., but also ...)",4
不久,,bù jiǔ,not long (after); before too long; soon; soon after,4
不客气,,bù kè qi,you're welcome; don't mention it; impolite; rude; blunt,4
不论,,bù lùn,"whatever; no matter what (who, how etc); regardless of; not to discuss",4
不满,,bù mǎn,resentful; discontented; dissatisfied,4
不然,,bù rán,not so; no; or else; otherwise; if not; How about ...?,4
不如,,bù rú,not equal to; not as good as; inferior to; it would be better to,4
不少,,bù shǎo,many; a lot; not few,4
不太,,bù tài,Not too,4
不同,,bù tóng,different; distinct; not the same; not alike,4
不行,,bù xíng,won't do; be out of the question; be no good; not work; not be capable,4
不要,,bù yào,don't!; must not,4
不要紧,,bù yào jǐn,"unimportant; not serious; it doesn't matter; never mind; it looks all right, but",4
不一定,,bù yī dìng,not necessarily; maybe,4
不一会儿,,bù yīhuǐr5,Take a short while,4
不用,,bù yòng,need not,4
不在乎,,bù zài hu,not to care,4
布,,bù,variant of 布; to announce; to spread,4
布置,,bù zhì,to put in order; to arrange; to decorate; to fix up; to deploy,4
步,,Bù,surname Bu,4
步行,,bù xíng,to go on foot; to walk,4
部,,bù,"ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc",4
部分,,bù fen,part; share; section; piece,4
部门,,bù mén,department; branch; section; division,4
部长,,bù zhǎng,head of a (government etc) department; section chief; section head; secretary; minister,4
擦,,cā,"to rub; to scratch; to towel; to wipe with a towel; to apply (lipstick, lotion etc); to touch; to brush (past); to shred (vegetables etc)",4
才,,cái,ability; talent; sb of a certain type; a capable individual; then and only then; just now; (before an expression of quantity) only,4
才能,,cái néng,talent; ability; capacity,4
材料,,cái liào,(raw) material; data; (fig.) person who has the potential to do the job,4
财产,,cái chǎn,property; assets; estate,4
财富,,cái fù,wealth; riches,4
采访,,cǎi fǎng,to interview; to gather news; to hunt for and collect; to cover,4
采取,,cǎi qǔ,"to adopt or carry out (measures, policies, course of action); to take",4
采用,,cǎi yòng,to adopt; to employ; to use,4
彩色,,cǎi sè,color; multicolored,4
菜,,cài,dish (type of food); vegetable; cuisine; (coll.) (one's) type; (of one's skills etc) weak; poor,4
菜单,,cài dān,menu,4
参观,,cān guān,to look around; to tour; to visit,4
参加,,cān jiā,to participate; to take part; to join,4
参考,,cān kǎo,consultation; reference; to consult; to refer,4
参与,,cān yù,to participate (in sth),4
操场,,cāo chǎng,playground; sports field; drill ground,4
操作,,cāo zuò,to work; to operate; to manipulate,4
草,,cǎo,variant of 草,4
草地,,cǎo dì,lawn; meadow; sod; turf,4
测,,cè,to survey; to measure; to conjecture,4
测量,,cè liáng,survey; to measure; to gauge; to determine,4
测试,,cè shì,to test (machinery etc); to test (a person's skill in a particular area); a test; (computing) beta (version of software),4
层,,céng,to pile on top of one another; layer; stratum; floor (of a building); story; (math.) sheaf; classifier for layers,4
曾,,Zēng,surname Zeng,4
曾经,,céng jīng,once; already; former; previously; ever; (past tense marker used before verb or clause),4
查,,Zhā,surname Zha,4
茶,,chá,tea; tea plant,4
茶叶,,chá yè,tea; tea leaves,4
差,,chā,difference; discrepancy; (math.) difference (amount remaining after a subtraction); (literary) a little; somewhat; slightly,4
差不多,,chà bu duō,almost; nearly; more or less; about the same; good enough; not bad,4
产品,,chǎn pǐn,goods; merchandise; product,4
产生,,chǎn shēng,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate,4
常,,Cháng,surname Chang,4
常常,,cháng cháng,frequently; often,4
常见,,cháng jiàn,commonly seen; common; to see sth frequently,4
常识,,cháng shí,common sense; general knowledge,4
常用,,cháng yòng,in common usage,4
厂,,hǎn,"""cliff"" radical in Chinese characters (Kangxi radical 27), occurring in 原, 历, 压 etc",4
场,,cháng,"threshing floor; classifier for events and happenings: spell, episode, bout",4
场合,,chǎng hé,situation; occasion; context; setting; location; venue,4
场所,,chǎng suǒ,location; place,4
唱,,chàng,to sing; to call loudly; to chant,4
唱歌,,chàng gē,to sing a song,4
唱片,,chàng piàn,gramophone record; LP; music CD; musical album,4
抄,,chāo,to make a copy; to plagiarize; to search and seize; to raid; to grab; to go off with; to take a shortcut; to make a turning move; to fold one's arms,4
抄写,,chāo xiě,to copy; to transcribe,4
超过,,chāo guò,to surpass; to exceed; to outstrip,4
超级,,chāo jí,super-; ultra-; hyper-,4
超市,,chāo shì,supermarket (abbr. for 超级市场),4
朝,,Cháo,abbr. for 朝鲜 Korea,4
潮,,cháo,tide; damp; moist; humid; fashionable; trendy; (coll.) inferior; substandard,4
潮流,,cháo liú,tide; current; trend,4
潮湿,,cháo shī,damp; moist,4
吵,,chǎo,to quarrel; to make a noise; noisy; to disturb by making a noise,4
吵架,,chǎo jià,to quarrel; to have a row; quarrel,4
车,,Chē,surname Che,4
车辆,,chē liàng,vehicle,4
车票,,chē piào,ticket (for a bus or train),4
车上,,chē shàng,Car,4
车站,,chē zhàn,rail station; bus stop,4
彻底,,chè dǐ,thorough; thoroughly; complete,4
沉,,chén,to submerge; to immerse; to sink; to keep down; to lower; to drop; deep; profound; heavy,4
沉默,,chén mò,taciturn; uncommunicative; silent,4
沉重,,chén zhòng,heavy; hard; serious; critical,4
衬衫,,chèn shān,shirt; blouse,4
衬衣,,chèn yī,shirt,4
称,,chèn,to fit; balanced; suitable,4
称为,,chēng wéi,"to be called; to be known as; to call it ""...""",4
称赞,,chēng zàn,to praise; to acclaim; to commend; to compliment,4
成,,Chéng,surname Cheng,4
成功,,Chéng gōng,"Chenggong or Chengkung town in Taitung County 台东县, southeast Taiwan",4
成果,,chéng guǒ,result; achievement; gain; profit,4
成绩,,chéng jì,achievement; performance records; grades,4
成就,,chéng jiù,accomplishment; success; achievement; to achieve (a result); to create; to bring about,4
成立,,chéng lì,to establish; to set up; to be tenable; to hold water,4
成人,,chéng rén,adult,4
成熟,,chéng shú,mature; ripe; to mature; to ripen; Taiwan pr. [chéng shóu],4
成为,,chéng wéi,to become; to turn into,4
成员,,chéng yuán,member,4
成长,,chéng zhǎng,to mature; to grow; growth,4
承担,,chéng dān,to undertake; to assume (responsibility etc),4
承认,,chéng rèn,"to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge",4
承受,,chéng shòu,to bear; to support; to inherit,4
诚实,,chéng shí,honest,4
诚信,,chéng xìn,genuine; honest; in good faith; honesty; integrity,4
城,,chéng,city walls; city; town,4
城市,,chéng shì,city; town,4
程度,,chéng dù,degree; level; extent,4
程序,,chéng xù,procedures; sequence; order; computer program,4
吃,,chī,"to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer (shock, injury, defeat etc)",4
吃饭,,chī fàn,to have a meal; to eat; to make a living,4
吃惊,,chī jīng,to be startled; to be shocked; to be amazed,4
迟到,,chí dào,to arrive late,4
持续,,chí xù,to continue; to persist; to last; sustainable; preservation,4
尺,,chě,"one of the characters used to represent a musical note in gongche notation, 工尺谱",4
尺寸,,chǐ cun,size; dimensions; measurements (esp. of clothes); (coll.) propriety,4
尺子,,chǐ zi,ruler (measuring instrument),4
充电,,chōng diàn,to recharge (a battery); (fig.) to recharge one's batteries (through leisure); to update one's skills and knowledge,4
充电器,,chōng diàn qì,battery charger,4
充分,,chōng fèn,ample; sufficient; adequate; full; fully; to the full,4
充满,,chōng mǎn,full of; brimming with; very full; permeated,4
冲,,chōng,(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with,4
虫子,,chóng zi,insect; bug; worm,4
抽,,chōu,to draw out; to pull out from in between; to remove part of the whole; (of certain plants) to sprout or bud; to whip or thrash,4
抽奖,,chōu jiǎng,to draw a prize; a lottery; a raffle,4
抽烟,,chōu yān,"to smoke (a cigarette, tobacco)",4
出,,chū,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc",4
出发,,chū fā,to set off; to start (on a journey),4
出国,,chū guó,to go abroad; to leave the country,4
出口,,chū kǒu,an exit; to speak; to export; (of a ship) to leave port,4
出来,,chū lái,to come out; to appear; to arise,4
出门,,chū mén,to go out; to leave home; to go on a journey; away from home; (of a woman) to get married,4
出去,,chū qù,to go out,4
出色,,chū sè,remarkable; outstanding,4
出生,,chū shēng,to be born,4
出售,,chū shòu,to sell; to offer for sale; to put on the market,4
出席,,chū xí,to attend; to participate; present,4
出现,,chū xiàn,to appear; to arise; to emerge; to show up,4
出院,,chū yuàn,to leave hospital; to be discharged from hospital,4
出租,,chū zū,to rent,4
出租车,,chū zū chē,taxi; (Tw) rental car,4
初,,chū,at first; (at the) beginning; first; junior; basic,4
初步,,chū bù,initial; preliminary; tentative,4
初级,,chū jí,junior; primary,4
初一,,chū yī,first day of lunar month; New Year's Day; first year in junior middle school,4
初中,,chū zhōng,junior high school (abbr. for 初级中学),4
除了,,chú le,besides; apart from (... also...); in addition to; except (for),4
处,,chǔ,to reside; to live; to dwell; to be in; to be situated at; to stay; to get along with; to be in a position of; to deal with; to discipline; to punish,4
处理,,chǔ lǐ,to handle; to deal with; to punish; to treat sth by a special process; to process; to sell at reduced prices,4
处于,,chǔ yú,"to be in (some state, position, or condition)",4
穿,,chuān,to wear; to put on; to dress; to bore through; to pierce; to perforate; to penetrate; to pass through; to thread,4
穿上,,chuān shang,to put on (clothes etc),4
传,,chuán,to pass on; to spread; to transmit; to infect; to transfer; to circulate; to conduct (electricity),4
传播,,chuán bō,to disseminate; to propagate; to spread,4
传来,,chuán lái,(of a sound) to come through; to be heard; (of news) to arrive,4
传说,,chuán shuō,legend; folk tale; to repeat from mouth to mouth; they say that...,4
传统,,chuán tǒng,tradition; traditional; convention; conventional,4
船,,chuán,variant of 船,4
窗户,,chuāng hu,window,4
窗台,,chuāng tái,window sill; window ledge,4
窗子,,chuāng zi,window,4
床,,chuáng,bed; couch; classifier for beds,4
创新,,chuàng xīn,to bring forth new ideas; to blaze new trails; innovation,4
创业,,chuàng yè,to begin an undertaking; to start a major task; to initiate; to venture; venture; entrepreneurship,4
创造,,chuàng zào,to create; to bring about; to produce; to set (a record),4
创作,,chuàng zuò,to create; to produce; to write; creative work; creation,4
吹,,chuī,to blow; to play a wind instrument; to blast; to puff; to boast; to brag; to end in failure; to fall through,4
春季,,chūn jì,springtime,4
春节,,Chūn jié,Spring Festival (Chinese New Year),4
春天,,chūn tiān,spring (season),4
纯,,chún,pure; simple; unmixed; genuine,4
纯净水,,chún jìng shuǐ,purified water,4
词,,cí,old variant of 词,4
词典,,cí diǎn,dictionary; also written 辞典,4
词汇,,cí huì,variant of 词汇,4
词语,,cí yǔ,word (general term including monosyllables through to short phrases); term (e.g. technical term); expression,4
此,,cǐ,this; these,4
此外,,cǐ wài,besides; in addition; moreover; furthermore,4
次,,cì,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time",4
刺,,cī,(onom.) whoosh,4
刺激,,cì jī,to provoke; to irritate; to upset; to stimulate; to excite; irritant,4
从,,cóng,variant of 从,4
从此,,cóng cǐ,from now on; since then; henceforth,4
从来,,cóng lái,always; at all times; never (if used in negative sentence),4
从前,,cóng qián,previously; formerly; once upon a time,4
从事,,cóng shì,to go for; to engage in; to undertake; to deal with; to handle; to do,4
从小,,cóng xiǎo,from childhood; from a young age,4
粗,,cū,coarse; rough; thick (for cylindrical objects); unfinished; vulgar; rude; crude,4
粗心,,cū xīn,careless; thoughtless,4
促进,,cù jìn,to promote (an idea or cause); to advance; boost,4
促使,,cù shǐ,to induce; to promote; to urge; to impel; to bring about; to provoke; to drive (sb to do sth); to catalyze; to actuate; to contribute to (some development),4
促销,,cù xiāo,to promote sales,4
村,,cūn,village,4
存,,cún,to exist; to deposit; to store; to keep; to survive,4
存在,,cún zài,to exist; to be; existence,4
措施,,cuò shī,measure; step,4
错,,Cuò,surname Cuo,4
错误,,cuò wù,mistaken; false; wrong; error; mistake,4
达到,,dá dào,to reach; to achieve; to attain,4
答案,,dá àn,answer; solution,4
答应,,dā ying,to answer; to respond; to answer positively; to agree; to accept; to promise,4
打,,dá,dozen (loanword),4
打败,,dǎ bài,to defeat; to overpower; to beat; to be defeated,4
打车,,dǎ chē,to take a taxi (in town); to hitch a lift,4
打电话,,dǎ diàn huà,to make a telephone call,4
打工,,dǎ gōng,"to work a temporary or casual job; (of students) to have a job outside of class time, or during vacation",4
打开,,dǎ kāi,to open; to show (a ticket); to turn on; to switch on,4
打雷,,dǎ léi,to rumble with thunder; clap of thunder,4
打破,,dǎ pò,to break; to smash,4
打球,,dǎ qiú,to play ball; to play with a ball,4
打扫,,dǎ sǎo,to clean; to sweep,4
打算,,dǎ suàn,to plan; to intend; to calculate; plan; intention; calculation,4
打听,,dǎ ting,to ask about; to make some inquiries; to ask around,4
打印,,dǎ yìn,to affix a seal; to stamp; to print out (with a printer),4
打折,,dǎ zhé,to give a discount,4
打针,,dǎ zhēn,to give or have an injection,4
大,,dà,big; large; great; older (than another person); eldest (as in 姐); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother),4
大巴,,dà bā,(coll.) large bus; coach; (abbr. for 大型巴士),4
大部分,,dà bù fen,in large part; the greater part; the majority,4
大大,,dà dà,greatly; enormously; (dialect) dad; uncle,4
大多,,dà duō,for the most part; many; most; the greater part; mostly,4
大多数,,dà duō shù,(great) majority,4
大方,,dà fāng,expert; scholar; mother earth; a type of green tea,4
大夫,,dà fū,senior official (in imperial China),4
大概,,dà gài,roughly; probably; rough; approximate; about; general idea,4
大哥,,dà gē,eldest brother; big brother (polite address for a man of about the same age as oneself); gang leader; boss,4
大规模,,dà guī mó,large scale; extensive; wide scale; broad scale,4
大海,,dà hǎi,sea; ocean,4
大会,,dà huì,general assembly; general meeting; convention,4
大家,,dà jiā,everyone; influential family; great expert,4
大姐,,dà jiě,big sister; elder sister; older sister (also polite term of address for a girl or woman slightly older than the speaker),4
大量,,dà liàng,great amount; large quantity; bulk; numerous; generous; magnanimous,4
大楼,,dà lóu,"building (a relatively large, multistory one)",4
大陆,,Dà lù,mainland China (reference to the PRC),4
大妈,,dà mā,father's elder brother's wife; aunt (affectionate term for an elderly woman),4
大门,,Dà mén,"the Doors, US rock band",4
大人,,dà ren,adult; grownup; title of respect toward superiors,4
大声,,dà shēng,loud voice; in a loud voice; loudly,4
大使馆,,dà shǐ guǎn,embassy,4
大小,,dà xiǎo,dimension; magnitude; size; measurement; large and small; at any rate; adults and children; consideration of seniority,4
大型,,dà xíng,large; large-scale,4
大学,,Dà xué,"the Great Learning, one of the Four Books 四书 in Confucianism",4
大学生,,dà xué shēng,university student; college student,4
大爷,,dà yé,arrogant idler; self-centered show-off,4
大衣,,dà yī,overcoat; topcoat; cloak,4
大约,,dà yuē,approximately; probably,4
大众,,Dà zhòng,Volkswagen (automobile manufacturer),4
大自然,,dà zì rán,nature (the natural world),4
代,,dài,to substitute; to act on behalf of others; to replace; generation; dynasty; age; period; (historical) era; (geological) eon,4
代表,,dài biǎo,representative; delegate; to represent; to stand for; on behalf of; in the name of,4
代表团,,dài biǎo tuán,delegation,4
代替,,dài tì,to replace; to take the place of,4
带,,dài,band; belt; girdle; ribbon; tire; area; zone; region; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise,4
带动,,dài dòng,to spur; to provide impetus; to drive,4
带来,,dài lái,to bring; (fig.) to bring about; to produce,4
带领,,dài lǐng,to guide; to lead,4
待遇,,dài yù,treatment; pay; salary; status; rank,4
袋,,dài,pouch; bag; sack; pocket,4
戴,,Dài,surname Dai,4
单,,Shàn,surname Shan,4
单纯,,dān chún,simple; pure; unsophisticated; merely; purely,4
单调,,dān diào,monotonous,4
单独,,dān dú,alone; by oneself; on one's own,4
单位,,dān wèi,"unit (of measure); unit (group of people as a whole); work unit (place of employment, esp. in the PRC prior to economic reform)",4
单元,,dān yuán,unit (forming an entity); element; (in a residential building) entrance or staircase,4
担保,,dān bǎo,to guarantee; to vouch for,4
担任,,dān rèn,to hold a governmental office or post; to assume office of; to take charge of; to serve as,4
担心,,dān xīn,anxious; worried; uneasy; to worry; to be anxious,4
但,,dàn,but; yet; however; still; merely; only; just,4
但是,,dàn shì,but; however,4
淡,,dàn,insipid; diluted; weak; mild; light in color; tasteless; indifferent; (variant of 氮) nitrogen,4
蛋,,Dàn,variant of 蜑,4
当,,dāng,(onom.) dong; ding dong (bell),4
当初,,dāng chū,at that time; originally,4
当地,,dāng dì,local,4
当然,,dāng rán,only natural; as it should be; certainly; of course; without doubt,4
当时,,dāng shí,then; at that time; while,4
当中,,dāng zhōng,among; in the middle; in the center,4
刀,,Dāo,surname Dao,4
导演,,dǎo yǎn,to direct; director (film etc),4
