simplified,vietnamese,pinyin,english,hsk_level
电源,,diàn yuán,electric power source,6
电子版,,diàn zǐ bǎn,electronic edition; digital version,6
电子邮件,,diàn zǐ yóu jiàn,email,6
店,,diàn,inn; old-style hotel; (bound form) shop; store,6
吊,,diào,to suspend; to hang up; to hang a person,6
调,,diào,to transfer; to move (troops or cadres); to investigate; to enquire into; accent; view; argument; key (in music); mode (music); tune; tone; melody,6
调查,,diào chá,investigation; inquiry; to investigate; to survey; survey; (opinion) poll,6
调动,,diào dòng,to transfer; to maneuver (troops etc); movement of personnel; to mobilize; to bring into play,6
调节,,tiáo jié,to adjust; to regulate; to harmonize; to reconcile (accountancy etc),6
调解,,tiáo jiě,to mediate; to bring parties to an agreement,6
调皮,,tiáo pí,naughty; mischievous; unruly,6
调研,,diào yán,to investigate and research; research; investigation,6
调整,,tiáo zhěng,to adjust; adjustment; revision,6
掉,,diào,"to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair); (used after certain verbs to express completion, fulfillment, removal etc)",6
跌,,diē,to fall; to tumble; to trip; (of prices etc) to drop; Taiwan pr. [dié],6
顶,,dǐng,"apex; crown of the head; top; roof; most; to carry on the head; to push to the top; to go against; to replace; to substitute; to be subjected to (an aerial bombing, hailstorm etc); (slang) to ""bump"" a forum thread to raise its profile; classifier for headwear, hats, veils etc",6
订,,dìng,to agree; to conclude; to draw up; to subscribe to (a newspaper etc); to order,6
定,,dìng,to set; to fix; to determine; to decide; to order,6
定价,,dìng jià,to set a price; to fix a price,6
定期,,dìng qī,at set dates; at regular intervals; periodic; limited to a fixed period of time; fixed term,6
定时,,dìng shí,to fix a time; fixed time; timed (of explosive etc),6
定位,,dìng wèi,to orientate; to position; to categorize (as); to characterize (as); positioning; position; niche,6
丢,,diū,to lose; to put aside; to throw,6
东,,Dōng,surname Dong,6
东北,,Dōng běi,Northeast China; Manchuria,6
东边,,dōng bian,east; east side; eastern part; to the east of,6
东部,,dōng bù,the east; eastern part,6
东方,,Dōng fāng,the East; the Orient; two-character surname Dongfang,6
东南,,dōng nán,southeast,6
东西,,dōng xī,east and west,6
冬季,,dōng jì,winter,6
冬天,,dōng tiān,winter,6
懂,,dǒng,to understand; to comprehend,6
懂得,,dǒng de,to understand; to know; to comprehend,6
动,,dòng,"(of sth) to move; to set in movement; to displace; to touch; to make use of; to stir (emotions); to alter; abbr. for 动词, verb",6
动画,,dòng huà,animation; cartoon,6
动画片,,dòng huà piàn,animated film,6
动机,,dòng jī,motive; motivation,6
动力,,dòng lì,motive power; force; (fig.) motivation; impetus,6
动人,,dòng rén,touching; moving,6
动手,,dòng shǒu,to set about (a task); to hit; to punch; to touch,6
动态,,dòng tài,movement; motion; development; trend; dynamic (science),6
动物,,dòng wù,animal,6
动物园,,dòng wù yuán,zoo,6
动摇,,dòng yáo,to sway; to waver; to rock; to rattle; to destabilize; to pose a challenge to,6
动员,,dòng yuán,to mobilize; mobilization,6
动作,,dòng zuò,movement; motion; action; to act; to move,6
冻,,dòng,to freeze; to feel very cold; aspic or jelly,6
洞,,dòng,cave; hole; zero (unambiguous spoken form when spelling out numbers),6
都,,Dū,surname Du,6
都市,,dū shì,city; metropolis,6
斗争,,dòu zhēng,a struggle; fight; battle,6
豆腐,,dòu fu,tofu; bean curd,6
豆制品,,dòu zhì pǐn,legume-based product; soybean product,6
毒,,dú,poison; to poison; poisonous; malicious; cruel; fierce; narcotics,6
毒品,,dú pǐn,drugs; narcotics; poison,6
独立,,dú lì,independent; independence; to stand alone,6
独特,,dú tè,unique; distinctive,6
独自,,dú zì,alone,6
读,,dòu,comma; phrase marked by pause,6
读书,,dú shū,to read a book; to study; to attend school,6
读音,,dú yīn,pronunciation; literary (rather than colloquial) pronunciation of a Chinese character,6
读者,,dú zhě,reader,6
堵,,dǔ,"to block up (a road, pipe etc); to stop up (a hole); (fig.) (of a person) choked up with anxiety or stress; wall (literary); (classifier for walls)",6
堵车,,dǔ chē,traffic jam; (of traffic) to get congested,6
赌,,dǔ,to bet; to gamble,6
赌博,,dǔ bó,to gamble,6
肚子,,dù zi,belly; abdomen; stomach,6
度,,dù,"to pass; to spend (time); measure; limit; extent; degree of intensity; degree (angles, temperature etc); kilowatt-hour; classifier for events and occurrences",6
度过,,dù guò,to pass; to spend (time); to survive; to get through,6
渡,,dù,to cross; to pass through; to ferry,6
端,,duān,end; extremity; item; port; to hold sth level with both hands; to carry; regular,6
端午节,,Duān wǔ jié,Dragon Boat Festival (5th day of the 5th lunar month),6
短,,duǎn,short; brief; to lack; weak point; fault,6
短处,,duǎn chù,shortcoming; defect; fault; one's weak points,6
短裤,,duǎn kù,short pants; shorts,6
短片,,duǎn piàn,short film; video clip,6
短期,,duǎn qī,short term; short-term,6
短信,,duǎn xìn,text message; SMS,6
段,,Duàn,surname Duan,6
断,,duàn,to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely; definitely; decidedly,6
锻炼,,duàn liàn,to toughen; to temper; to engage in physical exercise; to work out; (fig.) to develop one's skills; to train oneself,6
堆,,duī,to pile up; to heap up; a mass; pile; heap; stack; large amount,6
队,,duì,squadron; team; group,6
队伍,,duì wǔ,ranks; troops; queue; line; procession,6
队员,,duì yuán,team member,6
队长,,duì zhǎng,captain; team leader,6
对,,duì,right; correct; towards; at; for; concerning; regarding; to treat (sb a certain way); to face; (bound form) opposite; facing; matching; to match together; to adjust; to fit; to suit; to answer; to reply; to add; to pour in (a fluid); to check; to compare; classifier: couple; pair,6
对比,,duì bǐ,to contrast; contrast; ratio,6
对不起,,duì bu qǐ,I'm sorry; excuse me; I beg your pardon; to let (sb) down; to disappoint,6
对待,,duì dài,to treat; treatment,6
对方,,duì fāng,the other person; the other side; the other party,6
对付,,duì fu,to handle; to deal with; to tackle; to get by with; to make do; (dialect) (usu. used in the negative) to get along with (sb),6
对话,,duì huà,to talk (with sb); dialogue; conversation,6
对抗,,duì kàng,to withstand; to resist; to stand off; antagonism; confrontation,6
对立,,duì lì,to oppose; to set sth against; to be antagonistic to; antithetical; relative opposite; opposing; diametrical,6
对面,,duì miàn,(sitting) opposite; across (the street); directly in front; to be face to face,6
对手,,duì shǒu,opponent; rival; competitor; (well-matched) adversary; match,6
对外,,duì wài,external; foreign; pertaining to external or foreign (affairs),6
对象,,duì xiàng,target; object; partner; boyfriend; girlfriend,6
对应,,duì yìng,to correspond (to); to be equivalent to; to be a counterpart to,6
对于,,duì yú,regarding; as far as (sth) is concerned; with regard to,6
吨,,dūn,ton (loanword); Taiwan pr. [dùn],6
蹲,,dūn,to crouch; to squat; to stay (somewhere),6
顿,,dùn,"to stop; to pause; to arrange; to lay out; to kowtow; to stamp (one's foot); at once; classifier for meals, beatings, scoldings etc: time, bout, spell, meal",6
多,,duō,many; much; too many; in excess; (after a numeral) ... odd; how (to what extent) (Taiwan pr. [duó]); (bound form) multi-; poly-,6
多半,,duō bàn,most; mostly; most likely,6
多次,,duō cì,many times; repeatedly,6
多方面,,duō fāng miàn,many-sided; in many aspects,6
多久,,duō jiǔ,(of time) how long?; (not) a long time,6
多么,,duō me,how (wonderful etc); what (a great idea etc); however (difficult it may be etc); (in interrogative sentences) how (much etc); to what extent,6
多媒体,,duō méi tǐ,multimedia,6
多年,,duō nián,many years; for many years; longstanding,6
多少,,duō shǎo,number; amount; somewhat,6
多数,,duō shù,majority; most,6
多样,,duō yàng,diverse; diversity; manifold,6
多云,,duō yún,cloudy (meteorology),6
多种,,duō zhǒng,many kinds of; multiple; diverse; multi-,6
夺,,duó,to seize; to take away forcibly; to wrest control of; to compete or strive for; to force one's way through; to leave out; to lose,6
夺取,,duó qǔ,to seize; to capture; to wrest control of,6
躲,,duǒ,to hide; to dodge; to avoid,6
朵,,duǒ,"flower; earlobe; fig. item on both sides; classifier for flowers, clouds etc",6
恶心,,ě xīn,variant of 恶心,6
饿,,è,to be hungry; hungry; to starve (sb),6
恩人,,ēn rén,a benefactor; a person who has significantly helped sb else,6
儿科,,ér kē,pediatrics,6
儿女,,ér nu:3,children; sons and daughters; a young man and a young woman (in love),6
儿童,,ér tóng,child,6
儿子,,ér zi,son,6
而,,ér,and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast),6
而且,,ér qiě,(not only ...) but also; moreover; in addition; furthermore,6
而是,,ér shì,rather,6
耳朵,,ěr duo,ear; handle (on a cup),6
耳机,,ěr jī,headphones; earphones; telephone receiver,6
二,,èr,two; 2; (Beijing dialect) stupid,6
二手,,èr shǒu,"indirectly acquired; second-hand (information, equipment etc); assistant",6
二维码,,èr wéi mǎ,two-dimensional barcode; QR code,6
发,,fā,to send out; to show (one's feeling); to issue; to develop; to make a bundle of money; classifier for gunshots (rounds),6
发表,,fā biǎo,to issue; to publish,6
发病,,fā bìng,(of an illness) to occur; (of a person) to get sick; to fall ill; onset (of a medical condition),6
发布,,fā bù,to release; to issue; to announce; to distribute; also written 发布,6
发出,,fā chū,"to issue (an order, decree etc); to send out; to dispatch; to produce (a sound); to let out (a laugh)",6
发达,,fā dá,well-developed; flourishing; to develop; to promote; to expand; (literary) to achieve fame and fortune; to prosper,6
发电,,fā diàn,to generate electricity; to send a telegram,6
发动,,fā dòng,to start; to launch; to unleash; to mobilize; to arouse,6
发放,,fā fàng,to provide; to give; to grant,6
发挥,,fā huī,to display; to exhibit; to bring out implicit or innate qualities; to express (a thought or moral); to develop (an idea); to elaborate (on a theme),6
发觉,,fā jué,to become aware; to detect; to realize; to perceive,6
发明,,fā míng,to invent; an invention,6
发怒,,fā nù,to get angry,6
发票,,fā piào,invoice; receipt or bill for purchase,6
发起,,fā qǐ,"to originate; to initiate; to launch (an attack, an initiative etc); to start; to propose sth (for the first time)",6
发烧,,fā shāo,to have a high temperature (from illness); to have a fever,6
发射,,fā shè,to shoot (a projectile); to fire (a rocket); to launch; to emit (a particle); to discharge; emanation; emission,6
发生,,fā shēng,to happen; to occur; to take place; to break out,6
发送,,fā sòng,to transmit; to dispatch; to issue (an official document or credential),6
发现,,fā xiàn,to notice; to become aware of; to discover; to find; to detect; a discovery,6
发行,,fā xíng,"to publish; to issue (stocks, currency etc); to release; to distribute (a film)",6
发言,,fā yán,to make a speech; statement; utterance,6
发言人,,fā yán rén,spokesperson,6
发炎,,fā yán,to become inflamed; inflammation,6
发展,,fā zhǎn,development; growth; to develop; to grow; to expand,6
罚,,fá,to punish; to penalize,6
罚款,,fá kuǎn,to fine; penalty; fine (monetary),6
法,,fǎ,variant of 法,6
法官,,fǎ guān,judge (in court),6
法规,,fǎ guī,legislation; statute,6
法律,,fǎ lu:4,law,6
法庭,,fǎ tíng,court of law,6
法语,,Fǎ yǔ,French (language),6
法院,,fǎ yuàn,court of law; court,6
法制,,fǎ zhì,legal system and institutions,6
番,,Pān,surname Pan,6
番茄,,fān qié,tomato,6
翻,,fān,to turn over; to flip over; to overturn; to rummage through; to translate; to decode; to double; to climb over or into; to cross,6
翻译,,fān yì,to translate; to interpret; translator; interpreter; translation; interpretation,6
凡是,,fán shì,each and every; every; all; any,6
烦,,fán,to feel vexed; to bother; to trouble; superfluous and confusing; edgy,6
繁荣,,fán róng,prosperous; booming (economy),6
繁殖,,fán zhí,to breed; to reproduce; to propagate,6
反,,fǎn,contrary; in reverse; inside out or upside down; to reverse; to return; to oppose; opposite; against; anti-; to rebel; to use analogy; instead; abbr. for 切 phonetic system,6
反对,,fǎn duì,to oppose; to be against; to object to,6
反而,,fǎn ér,on the contrary; instead,6
反复,,fǎn fù,variant of 反复,6
反抗,,fǎn kàng,to resist; to rebel,6
反问,,fǎn wèn,to ask (a question) in reply; to answer a question with a question; rhetorical question,6
反响,,fǎn xiǎng,repercussions; reaction; echo,6
反应,,fǎn yìng,to react; to respond; reaction; response; reply; chemical reaction,6
反映,,fǎn yìng,to mirror; to reflect; mirror image; reflection; (fig.) to report; to make known; to render,6
反正,,fǎn zhèng,anyway; in any case; to come over from the enemy's side,6
返回,,fǎn huí,to return to; to come (or go) back,6
犯,,fàn,to violate; to offend; to assault; criminal; crime; to make a mistake; recurrence (of mistake or sth bad),6
犯规,,fàn guī,to break the rules; an illegality; a foul,6
犯罪,,fàn zuì,to commit a crime; crime; offense,6
饭,,fàn,cooked rice; meal; (loanword) fan; devotee,6
饭店,,fàn diàn,restaurant; hotel,6
饭馆,,fàn guǎn,restaurant,6
范围,,fàn wéi,range; scope; limit; extent,6
方,,Fāng,surname Fang,6
方案,,fāng àn,plan; program (for action etc); proposal; proposed bill,6
方便,,fāng biàn,convenient; suitable; to facilitate; to make things easy; having money to spare; (euphemism) to relieve oneself,6
方便面,,fāng biàn miàn,instant noodles,6
方法,,fāng fǎ,method; way; means,6
方面,,fāng miàn,respect; aspect; field; side,6
方式,,fāng shì,way; manner; style; mode; pattern,6
方向,,fāng xiàng,direction; orientation,6
方针,,fāng zhēn,policy; guidelines,6
防,,fáng,to protect; to defend; to guard against; to prevent,6
防范,,fáng fàn,to be on guard; wariness; to guard against; preventive,6
防守,,fáng shǒu,to defend; to protect (against),6
防止,,fáng zhǐ,to prevent; to guard against; to take precautions,6
防治,,fáng zhì,to prevent and cure; prevention and cure,6
房东,,fáng dōng,landlord,6
房价,,fáng jià,house price; cost of housing,6
房间,,fáng jiān,room,6
房屋,,fáng wū,house; building,6
房子,,fáng zi,house; building (single- or two-story); apartment; room,6
房租,,fáng zū,rent for a room or house,6
仿佛,,fǎng fú,variant of 仿佛,6
访问,,fǎng wèn,to visit; to call on; to interview,6
放,,fàng,to put; to place; to release; to free; to let go; to let out; to set off (fireworks),6
放大,,fàng dà,to enlarge; to magnify,6
放到,,fàng dào,Put in,6
放假,,fàng jià,to have a holiday or vacation,6
放弃,,fàng qì,to renounce; to abandon; to give up,6
放松,,fàng sōng,to relax; to slacken; to loosen,6
放下,,fàng xià,to lay down; to put down; to let go of; to relinquish; to set aside; to lower (the blinds etc),6
放心,,fàng xīn,to feel relieved; to feel reassured; to be at ease,6
放学,,fàng xué,to dismiss students at the end of the school day,6
飞,,fēi,to fly,6
飞船,,fēi chuán,spaceship; spacecraft; dirigible; airship,6
飞机,,fēi jī,airplane,6
飞行,,fēi xíng,(of planes etc) to fly; flying; flight; aviation,6
飞行员,,fēi xíng yuán,pilot; aviator,6
非,,Fēi,"abbr. for 洲, Africa",6
非常,,fēi cháng,very; really; unusual; extraordinary,6
肥,,féi,fat; fertile; loose-fitting or large; to fertilize; to become rich by illegal means; fertilizer; manure,6
肺,,fèi,lung,6
费,,Fèi,surname Fei,6
费用,,fèi yòng,cost; expenditure; expense,6
分,,fēn,to divide; to separate; to distribute; to allocate; to distinguish (good and bad); (bound form) branch of (an organization); sub- (as in 局); fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute (unit of time); minute (angular measurement unit); a point (in sports or games); 0.01 yuan (unit of money),6
分别,,fēn bié,to part; to leave each other; to distinguish; to tell apart; difference; distinction; in different ways; differently; separately; individually,6
分布,,fēn bù,"to scatter; to distribute; to be distributed (over an area etc); (statistical, geographic) distribution",6
分成,,fēn chéng,to divide (into); to split a bonus; to break into; tenths; percentage allotment,6
分工,,fēn gōng,to divide up the work; division of labor,6
分解,,fēn jiě,to resolve; to decompose; to break down,6
分开,,fēn kāi,to separate; to part,6
分类,,fēn lèi,to classify,6
分离,,fēn lí,to separate,6
分裂,,fēn liè,to split up; to divide; to break up; fission; schism,6
分配,,fēn pèi,to distribute; to assign; to allocate; to partition (a hard drive),6
分散,,fēn sàn,to scatter; to disperse; to distribute,6
分手,,fēn shǒu,to part company; to split up; to break up,6
分数,,fēn shù,(exam) grade; mark; score; fraction,6
分为,,fēn wéi,to divide sth into (parts); to subdivide,6
分析,,fēn xī,to analyze; analysis,6
分享,,fēn xiǎng,to share (let others have some of sth good),6
分之,,fēn zhī,(indicating a fraction),6
分钟,,fēn zhōng,minute,6
分组,,fēn zǔ,to divide into groups; group (formed from a larger group); subgroup; (computer networking) packet,6
纷纷,,fēn fēn,one after another; in succession; one by one; continuously; diverse; in profusion; numerous and confused; pell-mell,6
份,,fèn,"classifier for gifts, newspaper, magazine, papers, reports, contracts etc; variant of 分",6
奋斗,,fèn dòu,to strive; to struggle,6
愤怒,,fèn nù,angry; indignant; wrath; ire,6
丰富,,fēng fù,to enrich; rich; plentiful; abundant,6
丰收,,fēng shōu,bumper harvest,6
风,,fēng,wind; news; style; custom; manner,6
风暴,,fēng bào,"storm; violent commotion; fig. crisis (e.g. revolution, uprising, financial crisis etc)",6
风度,,fēng dù,elegance (for men); elegant demeanor; grace; poise,6
风格,,fēng gé,style,6
风光,,fēng guāng,scene; view; sight; landscape; to be well-regarded; to be well-off; grand (dialect); impressive (dialect),6
风景,,fēng jǐng,scenery; landscape,6
风俗,,fēng sú,social custom,6
风险,,fēng xiǎn,risk; hazard,6
封,,Fēng,surname Feng,6
封闭,,fēng bì,to close; to seal off; to close down (an illegal venue); closed (i.e. isolated from outside input),6
疯,,fēng,insane; mad; wild,6
疯狂,,fēng kuáng,crazy; frenzied; wild,6
峰会,,fēng huì,summit meeting,6
奉献,,fèng xiàn,to offer respectfully; to consecrate; to dedicate; to devote,6
否定,,fǒu dìng,to negate; to deny; to reject; negative (answer); negation,6
否认,,fǒu rèn,to declare to be untrue; to deny,6
否则,,fǒu zé,otherwise; if not; or (else),6
佛,,Fó,Buddha; Buddhism (abbr. for 陀),6
佛教,,Fó jiào,Buddhism,6
扶,,fú,to support with the hand; to help sb up; to support oneself by holding onto something; to help,6
服,,fú,"clothes; dress; garment; to serve (in the military, a prison sentence etc); to obey; to be convinced (by an argument); to convince; to admire; to acclimatize; to take (medicine); mourning clothes; to wear mourning clothes",6
服从,,fú cóng,to obey (an order); to comply; to defer,6
服务,,fú wù,to serve; service,6
服务员,,fú wù yuán,waiter; waitress; attendant; customer service personnel,6
服装,,fú zhuāng,dress; clothing; costume; clothes,6
浮,,fú,to float; superficial; floating; unstable; movable; provisional; temporary; transient; impetuous; hollow; inflated; to exceed; superfluous; excessive; surplus,6
符号,,fú hào,symbol; mark; sign,6
符合,,fú hé,in keeping with; in accordance with; tallying with; in line with; to agree with; to accord with; to conform to; to correspond with; to manage; to handle,6
幅,,fú,width; roll; classifier for textiles or pictures,6
幅度,,fú dù,width; extent; range; scope,6
福,,Fú,surname Fu; abbr. for Fujian province 省,6
福利,,fú lì,material benefit; benefit in kind; (social) welfare,6
辅助,,fǔ zhù,to assist; to aid; supplementary; auxiliary,6
父母,,fù mǔ,father and mother; parents,6
父女,,fù nu:3,father and daughter,6
父亲,,fù qīn,father; also pr. [fù qin],6
父子,,fù zǐ,father and son,6
付,,Fù,surname Fu,6
付出,,fù chū,to pay; to expend; to invest (energy or time),6
妇女,,fù nu:3,woman,6
负,,fù,to bear; to carry (on one's back); to turn one's back on; to be defeated; negative (math. etc),6
负担,,fù dān,"to bear (an expense, a responsibility etc); burden",6
负责,,fù zé,to be in charge of; to take responsibility for; to be to blame; conscientious,6
负责人,,fù zé rén,person in charge,6
附件,,fù jiàn,enclosure; attachment (email); appendix,6
附近,,fù jìn,nearby; neighboring; (in the) vicinity (of); neighborhood,6
复苏,,fù sū,"to recover (health, economic); to resuscitate; anabiosis",6
复习,,fù xí,to review; revision,6
复印,,fù yìn,to photocopy; to duplicate a document,6
复杂,,fù zá,complicated; complex,6
复制,,fù zhì,to duplicate; to make a copy of; to copy; to reproduce; to clone,6
副,,fù,"secondary; auxiliary; deputy; assistant; vice-; abbr. for 副词 adverb; classifier for pairs, sets of things & facial expressions",6
富,,Fù,surname Fu,6
富人,,fù rén,rich person; the rich,6
富有,,fù yǒu,rich; wealthy; affluent; to be rich in; to be replete with,6
夫妇,,fū fù,a (married) couple; husband and wife,6
夫妻,,fū qī,husband and wife; married couple,6
夫人,,fū ren,lady; madam; Mrs.,6
该,,gāi,should; ought to; probably; must be; to deserve; to owe; to be sb's turn to do sth; that; the above-mentioned,6
改,,gǎi,to change; to alter; to transform; to correct,6
改变,,gǎi biàn,to change; to alter; to transform,6
改革,,gǎi gé,reform; to reform,6
改进,,gǎi jìn,to improve; to make better; improvement,6
改善,,gǎi shàn,to make better; to improve,6
改造,,gǎi zào,to transform; to reform; to remodel; to remold,6
改正,,gǎi zhèng,to correct; to amend; to put right; correction,6
改装,,gǎi zhuāng,to change one's costume; to repackage; to remodel; to refit; to modify; to convert,6
盖,,Gě,surname Ge,6
概括,,gài kuò,to summarize; to generalize; briefly; in broad outline,6
概念,,gài niàn,concept; idea,6
杆,,gān,pole,6
肝,,gān,"liver; (slang) to put in long hours, typically late into the night, playing (a video game); (of a video game) involving a lot of repetition in order to progress; grindy",6
赶,,gǎn,to overtake; to catch up with; to hurry; to rush; to try to catch (the bus etc); to drive (cattle etc) forward; to drive (sb) away; to avail oneself of (an opportunity); until; by (a certain time),6
赶不上,,gǎn bù shàng,can't keep up with; can't catch up with; cannot overtake,6
赶到,,gǎn dào,to hurry (to some place),6
赶紧,,gǎn jǐn,hurriedly; without delay,6
赶快,,gǎn kuài,quickly; at once,6
赶忙,,gǎn máng,to hurry; to hasten; to make haste,6
赶上,,gǎn shàng,to keep up with; to catch up with; to overtake; to chance upon; in time for,6
敢,,gǎn,to dare; daring; (polite) may I venture,6
敢于,,gǎn yú,to have the courage to do sth; to dare to; bold in,6
感到,,gǎn dào,to feel; to sense; to perceive,6
感动,,gǎn dòng,to move (sb); to touch (sb emotionally); moving,6
感觉,,gǎn jué,feeling; impression; sensation; to feel; to perceive,6
感冒,,gǎn mào,to catch cold; (common) cold; (coll.) to be interested in (often used in the negative); (Tw) to detest; can't stand,6
感情,,gǎn qíng,emotion; sentiment; affection; feelings between two persons,6
感人,,gǎn rén,touching; moving,6
感受,,gǎn shòu,to sense; perception; to feel (through the senses); to experience; a feeling; an impression; an experience,6
感想,,gǎn xiǎng,impressions; reflections; thoughts,6
感谢,,gǎn xiè,(express) thanks; gratitude; grateful; thankful; thanks,6
感兴趣,,gǎn xìng qù,to be interested,6
干,,gān,old variant of 干,6
干杯,,gān bēi,to drink a toast; Cheers! (proposing a toast); Here's to you!; Bottoms up!; lit. dry cup,6
干脆,,gān cuì,candid; direct and to the point; simply; just; might as well,6
干活儿,,gàn huó r,erhua variant of 干活,6
干净,,gān jìng,clean; neat,6
干吗,,gàn má,see 干嘛,6
干扰,,gān rǎo,to disturb; to interfere; perturbation; interference (physics),6
干涉,,gān shè,to interfere; to meddle; interference,6
干什么,,gàn shén me,what are you doing?; what's he up to?,6
干预,,gān yù,to meddle; to intervene; intervention,6
刚,,gāng,hard; firm; strong; just; barely; exactly,6
刚才,,gāng cái,just now; a moment ago,6
刚刚,,gāng gang,just recently; just a moment ago,6
刚好,,gāng hǎo,just; exactly; to happen to be,6
钢笔,,gāng bǐ,fountain pen,6
钢琴,,gāng qín,piano,6
岗位,,gǎng wèi,a post; a job,6
港口,,gǎng kǒu,port; harbor,6
高,,Gāo,surname Gao,6
高层,,gāo céng,high-rise; high level; high class,6
高潮,,gāo cháo,"high tide; high water; upsurge; peak of activity; climax (of a story, a competition etc); to have an orgasm",6
高大,,gāo dà,tall; lofty; towering,6
高档,,gāo dàng,superior quality; high grade; top grade,6
高等,,gāo děng,"high-level; higher (animals, education etc); advanced (math etc)",6
高度,,gāo dù,height; altitude; elevation; high degree; highly,6
高峰,,gāo fēng,peak; summit; height,6
高跟鞋,,gāo gēn xié,high-heeled shoes,6
高级,,gāo jí,high level; high grade; advanced; high-ranking,6
高价,,gāo jià,high price,6
高考,,gāo kǎo,college entrance exam (especially as abbr. for 普通高等学校招生全国统一考试); (Tw) entrance exam for senior government service posts (abbr. for 公务人员高等考试),6
高科技,,gāo kē jì,high tech; high technology,6
高尚,,gāo shàng,noble; lofty; refined; exquisite,6
高手,,gāo shǒu,expert; past master; dab hand,6
高速,,gāo sù,high speed; expressway (abbr. for 路),6
高速公路,,gāo sù gōng lù,expressway; highway; freeway,6
高铁,,gāo tiě,high speed rail,6
高温,,gāo wēn,high temperature,6
高兴,,gāo xìng,happy; glad; willing (to do sth); in a cheerful mood,6
高于,,gāo yú,greater than; to exceed,6
高原,,gāo yuán,plateau,6
高中,,gāo zhōng,senior high school; abbr. for 高级中学,6
搞,,gǎo,to do; to make; to go in for; to set up; to get hold of; to take care of,6
搞好,,gǎo hǎo,to do well at; to do a good job,6
稿子,,gǎo zi,draft of a document; script; manuscript; mental plan; precedent,6
告别,,gào bié,to leave; to part from; to bid farewell to; to say goodbye to,6
告诉,,gào sù,to press charges; to file a complaint,6
哥,,gē,elder brother,6
哥哥,,gē ge,older brother,6
歌,,gē,song; to sing,6
歌唱,,gē chàng,to sing,6
歌词,,gē cí,song lyric; lyrics,6
歌迷,,gē mí,fan of a singer,6
歌曲,,gē qǔ,song,6
歌声,,gē shēng,singing voice; fig. original voice of a poet,6
歌手,,gē shǒu,singer,6
歌星,,gē xīng,singing star; famous singer,6
革新,,gé xīn,to innovate; innovation,6
格外,,gé wài,especially; particularly,6
隔,,gé,to separate; to partition; to stand or lie between; at a distance from; after or at an interval of,6
隔壁,,gé bì,next door; neighbor,6
隔开,,gé kāi,to separate,6
个,,gě,used in 自个儿,6
个别,,gè bié,individually; one by one; just one or two; exceptional; rare,6
个儿,,gè r,size; height; stature,6
个人,,gè rén,individual; personal; oneself,6
个体,,gè tǐ,individual,6
个性,,gè xìng,individuality; personality,6
个子,,gè zi,height; stature; build; size,6
各,,gè,each; every,6
各地,,gè dì,in all parts of (a country); various regions,6
各个,,gè gè,"every; various; separately, one by one",6
各位,,gè wèi,"everybody; all (guests, colleagues etc); all of you",6
各种,,gè zhǒng,every kind of; all kinds of; various,6
各自,,gè zì,each; respective; apiece,6
给,,gěi,to; for; for the benefit of; to give; to allow; to do sth (for sb); (grammatical equivalent of 被); (grammatical equivalent of 把); (sentence intensifier),6
给予,,jǐ yǔ,(literary) to give; to accord; to render,6
根,,gēn,"root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; radical (chemistry)",6
根本,,gēn běn,fundamental; basic; root; simply; absolutely (not); (not) at all,6
根据,,gēn jù,according to; based on; basis; foundation,6
跟,,gēn,heel; to follow closely; to go with; (of a woman) to marry sb; with; compared with; to; towards; and (joining two nouns),6
跟前,,gēn qián,the front (of); (in) front; (in) sb's presence; just before (a date),6
跟随,,gēn suí,to follow,6
更,,gēng,to change or replace; to experience; one of the five two-hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard),6
更换,,gēng huàn,to replace (a worn-out tire etc); to change (one's address etc),6
更加,,gèng jiā,more (than sth else); even more,6
更是,,gèng shì,even more (so),6
更新,,gēng xīn,to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate,6
工厂,,gōng chǎng,factory,6
工程,,gōng chéng,engineering; an engineering project; project; undertaking,6
工程师,,gōng chéng shī,engineer,6
工夫,,gōng fū,(old) laborer,6
工具,,gōng jù,tool; instrument; utensil; means (to achieve a goal etc),6
工人,,gōng rén,worker,6
工商,,gōng shāng,industry and commerce,6
工业,,gōng yè,industry,6
工艺,,gōng yì,arts and crafts; industrial arts,6
工艺品,,gōng yì pǐn,handicraft article; handiwork,6
工资,,gōng zī,wages; pay,6
工作,,gōng zuò,to work; (of a machine) to operate; job; work; task,6
工作日,,gōng zuò rì,workday; working day; weekday,6
公,,gōng,"public; collectively owned; common; international (e.g. high seas, metric system, calendar); make public; fair; just; Duke, highest of five orders of nobility 位; honorable (gentlemen); father-in-law; male (animal)",6
公安,,gōng ān,(Ministry of) Public Security; public safety; public security,6
公布,,gōng bù,to announce; to make public; to publish,6
公告,,gōng gào,post; announcement,6
公共,,gōng gòng,public; common; communal,6
公共汽车,,gōng gòng qì chē,bus,6
