word,length,type,unique_to_level,also_appears_in_levels,character_count
思维,2,compound,yes,none,2
性能,2,compound,yes,none,2
怨,1,single,yes,none,1
总体,2,compound,yes,none,2
总数,2,compound,yes,none,2
总算,2,compound,yes,none,2
总裁,2,compound,yes,none,2
恋爱,2,compound,yes,none,2
恢复,2,compound,yes,none,2
恨,1,single,yes,none,1
悄悄,2,compound,yes,none,1
悲伤,2,compound,yes,none,2
悲剧,2,compound,yes,none,2
情形,2,compound,yes,none,2
情节,2,compound,yes,none,2
愁,1,single,yes,none,1
意味着,3,compound,yes,none,3
意志,2,compound,yes,none,2
意识,2,compound,yes,none,2
感想,2,compound,yes,none,2
愿,1,single,yes,none,1
慌,1,single,yes,none,1
慌忙,2,compound,yes,none,2
慰问,2,compound,yes,none,2
戏,1,single,yes,none,1
戏剧,2,compound,yes,none,2
成交,2,compound,yes,none,2
成效,2,compound,yes,none,2
成本,2,compound,yes,none,2
成语,2,compound,yes,none,2
戒,1,single,yes,none,1
或是,2,compound,yes,none,2
所在,2,compound,yes,none,2
扇,1,single,yes,none,1
扇子,2,compound,yes,none,2
手段,2,compound,yes,none,2
手法,2,compound,yes,none,2
打击,2,compound,yes,none,2
打包,2,compound,yes,none,2
打扮,2,compound,yes,none,2
打扰,2,compound,yes,none,2
打架,2,compound,yes,none,2
扔,1,single,yes,none,1
执行,2,compound,yes,none,2
扮演,2,compound,yes,none,2
扶,1,single,yes,none,1
承办,2,compound,yes,none,2
技能,2,compound,yes,none,2
抢,1,single,yes,none,1
抢救,2,compound,yes,none,2
报答,2,compound,yes,none,2
报警,2,compound,yes,none,2
披,1,single,yes,none,1
抬,1,single,yes,none,1
抬头,2,compound,yes,none,2
抱怨,2,compound,yes,none,2
押金,2,compound,yes,none,2
拆,1,single,yes,none,1
拆除,2,compound,yes,none,2
拍摄,2,compound,yes,none,2
拒绝,2,compound,yes,none,2
拔,1,single,yes,none,1
招手,2,compound,yes,none,2
招生,2,compound,yes,none,2
拜访,2,compound,yes,none,2
拥抱,2,compound,yes,none,2
拥有,2,compound,yes,none,2
拼,1,single,yes,none,1
拾,1,single,yes,none,1
指标,2,compound,yes,none,2
指甲,2,compound,yes,none,2
指示,2,compound,yes,none,2
